"Date","Pl","Tag","Q","Spr","Dne","Tt","Spread","Done","Note","Old_Note"
"06-14",1,1239,"",3,0,"",,,,"OUTSIDESE"
"06-14",2,1007,"",0,0,"",,,,"yv"
"06-14",2,1009,"",0,0,"",,,,"yv"
"06-14",2,1054,"",0,0,"",,,,"2yv;snapped"
"06-14",2,1213,"",2,0,"",,,,"OUTSIDESW"
"06-14",6,1001,"",0,0,"",,,,"2yv"
"06-14",10,1233,"",0,0,"",,,,"1yv"
"06-14",12,1048,"",1,0,"",,,,"flwlooksawful"
"06-14",12,1146,"",0,0,"",,,,"OUTSIDENW;1yv"
"06-14",14,1070,"",5,1,"wh-done",,,,""
"06-14",14,1077,"",8,1,"",,,,""
"06-14",14,1081,"",5,0,"",,,,""
"06-14",14,1120,"",8,0,"wh-op",,,,""
"06-14",14,1160,"",4,2,"",,,,""
"06-14",14,1174,"",5,0,"wh-op",,,,""
"06-14",14,1212,"",2,0,"wh2",,,,"newtt"
"06-14",14,1218,"",3,0,"",,,,"whitespider"
"06-14",14,1219,"",2,0,"",,,,""
"06-14",22,1043,"",1,0,"",,,,"1yv"
"06-14",22,1065,"",0,0,"",,,,"yv"
"06-14",22,1077,"",0,0,"",,,,"1yv"
"06-14",25,1075,"",2,0,"",,,,""
"06-08",25,1081,"",0,0,"",,,,"1yv"
"06-08",25,1105,"",0,0,"",,,,"1yv"
"06-14",25,1106,"",3,0,"wh3",,,,"newtt"
"06-14",25,1113,"",0,0,"",,,,"yv"
"06-14",25,1116,"",0,0,"",,,,"1yv"
"06-14",26,1173,"x",1,4,"",,,,"OUTSIDESW;doneoraborted?"
"06-14",27,1061,"",0,0,"",,,,"yv"
"06-14",27,1092,"",0,0,"",,,,"1yv"
"06-11",31,1094,"",0,0,"",,,,"yv"
"06-14",31,1099,"",1,0,"wh1",,,,""
"06-14",31,1101,"",1,0,"",,,,"tt2nexttime"
"06-14",31,1107,"",0,0,"",,,,"1yv"
"06-11",31,1238,"",0,0,"",,,,"3yv"
"06-11",33,1059,"",0,0,"",,,,"2yv"
"06-14",44,1154,"",2,0,"wh1",,,,"OUTSIDENW"
"06-14",46,1029,"",2,3,"",,,,""
"06-14",46,1087,"",0,0,"",,,,"2yv"
"06-14",46,1115,"",1,4,"wh-done",,,,""
"06-14",46,1224,"",2,3,"",,,,"1yv"
"06-05",47,1012,"",8,0,"wh6",,,,"Bomb"
"06-05",47,1031,"",6,0,"wh2",,,,"trampled;newtt"
"06-05",47,1036,"",5,0,"",,,,"1yv;visitedbylargeyellow+blackbee(Bomb?)"
"06-05",47,1068,"",2,0,"",,,,"trampled"
"06-05",47,1083,"",0,0,"",,,,"1yv"
"06-05",47,1085,"",0,0,"",,,,"1yv1spreadsoon"
"06-05",47,1090,"",3,0,"",,,,""
"06-05",47,1095,"",0,0,"",,,,"yv"
"06-05",47,1102,"",0,0,"",,,,"1yv"
"06-05",47,1117,"",0,0,"",,,,"yv"
"06-14",47,1156,"",0,0,"",,,,"1yv"
"06-05",47,1229,"",0,0,"",,,,"1yv"
"06-14",48,1012,"",19,5,"wh-op",,,,""
"06-14",48,1031,"",4,7,"wh-done",,,,"1aborted"
"06-14",48,1036,"x",2,4,"wh-done",,,,"ttfelloff;broke#2seedoff;check#ontt"
"06-14",48,1056,"",1,2,"",,,,""
"06-08",48,1068,"",3,0,"",,,,""
"06-14",48,1069,"",6,1,"gone",,,,""
"06-11",48,1083,"",7,0,"",,,,""
"06-14",48,1085,"",6,1,"",,,,"snapped;1gracedstem"
"06-14",48,1090,"",4,3,"wh-op",,,,""
"06-14",48,1095,"",2,0,"wh-op",,,,""
"06-14",48,1098,"",0,4,"",,,,""
"06-14",48,1102,"",3,0,"wh-op",,,,""
"06-08",48,1117,"",2,,"",,,,""
"06-14",48,1177,"",0,2,"",,,,""
"06-14",48,1178,"",4,2,"",,,,""
"06-14",48,1180,"",2,0,"",,,,"1aborted"
"06-08",48,1181,"",0,,"",,,,"1yv"
"06-14",48,1182,"",6,1,"",,,,"Bombus"
"06-14",48,1183,"",29,5,"wh-op",,,,""
