"Date","Pl","Tag","Q","Stms","Str","Crl","Dne","Straight","Curled","Done","Note","Old_note"
2020-08-14,1,1504,"",,0,0,1,,,,,""
2020-08-10,1,1565,"",,0,0,2,,,,,""
2020-08-19,1,1584,"x",,,,,,,,,"can't find; is 1854 or 1548?"
2020-08-19,1,1667,"",,0,0,1,,,,,""
2020-08-10,1,1854,"",,0,0,2,,,,,""
2020-08-10,3,1541,"",,0,0,3,,,,,""
2020-08-19,3,1691,"",,0,0,3,,,,,""
2020-08-10,3,1698,"",,0,0,7,,,,,"bud"
2020-08-14,3,1823,"",,0,0,1,,,,,""
2020-08-10,3,1852,"",,0,0,1,,,,,""
2020-08-10,5,1605,"",,0,0,4,,,,,""
2020-08-14,5,1789,"",,0,0,1,,,,,""
2020-08-10,6,1515,"",,0,0,1,,,,,""
2020-08-19,6,1526,"",,0,0,0,,,,,"bud - all others gone"
2020-08-19,6,1563,"",,,,,,,,,""
2020-08-19,8,1639,"",,0,0,9,,,,,"1 stem left"
2020-08-14,9,1658,"x","3",0,0,18,,,,,"check prev; 1 done on old potentially uncounted stem"
2020-08-10,9,1783,"",,0,0,2,,,,,""
2020-08-10,16,1663,"",,0,0,1,,,,,""
2020-08-10,16,1774,"",,0,0,1,,,,,""
2020-08-14,17,1594,"",,0,0,4,,,,,""
2020-08-19,18,1655,"",,0,0,6,,,,,"no new"
2020-08-19,18,1673,"",,0,1,6,,,,,""
2020-08-10,18,1697,"",,0,0,2,,,,,""
2020-08-10,18,1703,"",,0,0,3,,,,,""
2020-08-19,19,1805,"","1",0,0,1,,,,,"pv"
2020-08-10,20,1800,"",,0,0,1,,,,,""
2020-08-10,21,1845,"",,0,0,2,,,,,""
2020-08-14,21,1862,"",,,,,,,,,"can't find"
2020-08-10,22,1643,"",,0,0,2,,,,,""
2020-08-10,22,1784,"","5",0,0,6,,,,,"merged/merge with 1656"
2020-08-14,22,1843,"",,0,0,1,,,,,"is not neighbor"
2020-08-10,27,1744,"",,0,0,0,,,,,"grazed"
2020-08-14,27,1785,"",,0,0,2,,,,,""
2020-08-10,29,1750,"","2",0,0,2,,,,,""
2020-08-14,31,1507,"",,0,0,2,,,,,""
