"Date","Pl","Tag","Q","Stms","Str","Crl","Dne","Straight","Curled","Done","Note","Old_note"
2020-08-14,1,1504,"",,0,0,1,,,,,""
2020-08-06,1,1548,"",,0,0,2,,,,,""
2020-08-10,1,1565,"",,0,0,2,,,,,""
2020-08-14,1,1584,"","2",0,0,2,,,,,"one done is purple"
2020-08-10,1,1667,"",,0,0,2,,,,,""
2020-08-06,1,1837,"",,0,0,1,,,,,""
2020-08-10,1,1854,"",,0,0,2,,,,,""
2020-08-10,3,1541,"",,0,0,3,,,,,""
2020-08-06,3,1607,"",,0,0,0,,,,,"grazed"
2020-08-14,3,1691,"",,1,1,1,,,,,"reattached nearby (u) tag"
2020-08-10,3,1698,"",,0,0,7,,,,,"bud"
2020-08-14,3,1823,"",,0,0,1,,,,,""
2020-08-10,3,1852,"",,0,0,1,,,,,""
2020-08-10,5,1605,"",,0,0,4,,,,,""
2020-08-06,5,1738,"",,0,0,0,,,,,"grazed"
2020-08-14,5,1789,"",,0,0,1,,,,,""
2020-08-14,5,1871,"",,,,,,,,,""
2020-08-10,6,1515,"",,0,0,1,,,,,""
2020-08-14,6,1526,"",,,,,,,,,""
2020-08-14,6,1563,"",,0,0,1,,,,,"pv"
2020-08-10,8,1639,"",,0,0,17,,,,,""
2020-08-14,9,1658,"x","3",0,0,18,,,,,"check prev; 1 done on old potentially uncounted stem"
2020-08-10,9,1783,"",,0,0,2,,,,,""
2020-08-10,16,1663,"",,0,0,1,,,,,""
2020-08-10,16,1774,"",,0,0,1,,,,,""
2020-08-14,17,1594,"",,0,0,4,,,,,""
2020-08-06,18,1566,"",,,,,,,,,"found unattached outside plot; gone"
2020-08-06,18,1652,"",,,,,,,,,"found unattached outside plot"
2020-08-10,18,1655,"",,1,0,9,,,,,"1 done today"
2020-08-14,18,1673,"",,0,0,8,,,,,"pv"
2020-08-10,18,1697,"",,0,0,2,,,,,""
2020-08-10,18,1703,"",,0,0,3,,,,,""
2020-08-06,18,1808,"",,0,0,1,,,,,""
2020-08-06,19,1657,"",,0,0,6,,,,,""
2020-08-06,20,1797,"",,0,0,1,,,,,"tag is correct"
2020-08-10,20,1800,"",,0,0,1,,,,,""
2020-08-10,21,1845,"",,0,0,2,,,,,""
2020-08-14,21,1862,"",,,,,,,,,"can't find"
2020-08-06,22,1608,"",,0,0,2,,,,,""
2020-08-10,22,1643,"",,0,0,2,,,,,""
2020-08-10,22,1784,"","5",0,0,6,,,,,"merged/merge with 1656"
2020-08-14,22,1843,"",,0,0,1,,,,,"is not neighbor"
2020-08-06,23,1709,"x","1",0,0,1,,,,,"prev missed? On boundary"
2020-08-06,23,1759,"x","1",0,0,1,,,,,"prev missed? On boundary"
2020-08-06,23,1773,"",,0,0,1,,,,,""
2020-08-10,27,1744,"",,0,0,0,,,,,"grazed"
2020-08-14,27,1785,"",,0,0,2,,,,,""
2020-08-06,27,1840,"","1",0,0,1,,,,,"done today"
2020-08-06,28,1867,"",,0,0,2,,,,,"OUTSIDE SW"
2020-08-10,29,1750,"","2",0,0,2,,,,,""
2020-08-06,31,1502,"",,0,0,2,,,,,"might be 1564"
2020-08-14,31,1507,"",,0,0,2,,,,,""
2020-08-14,31,1530,"",,0,0,5,,,,,""
2020-08-10,31,1564,"",,0,0,3,,,,,""
2020-08-06,32,1546,"",,,,,,,,,"can't find; no tag; grazed?"
2020-08-10,32,1595,"",,0,0,2,,,,,"1 stem grazed"
2020-08-06,32,1614,"",,,,,,,,,"grazed"
2020-08-14,32,1618,"",,1,0,17,,,,,""
2020-08-06,32,1635,"",,,,,,,,,"can't find; no tag; grazed?"
2020-08-14,32,1676,"",,0,0,4,,,,,""
2020-08-10,32,1696,"","2",0,1,4,,,,,""
2020-08-10,32,1731,"",,,,,,,,,""
2020-08-06,32,1764,"",,0,0,2,,,,,""
2020-08-06,32,1768,"",,0,0,2,,,,,""
2020-08-10,32,1801,"",,0,0,1,,,,,""
2020-08-06,32,1802,"",,0,0,1,,,,,""
2020-08-06,32,1803,"",,0,0,2,,,,,""
2020-08-06,32,1804,"",,0,0,1,,,,,""
2020-08-10,32,1812,"",,0,0,1,,,,,""
2020-08-10,32,1817,"","1",0,0,1,,,,,""
2020-08-10,32,1828,"",,0,0,1,,,,,""
2020-08-10,32,1855,"",,0,0,2,,,,,""
2020-08-06,32,1878,"x",,0,0,1,,,,,"tag is 1879; improve"
2020-08-14,33,1503,"",,,,,,,,,""
2020-08-14,33,1521,"",,0,0,5,,,,,"grazed"
2020-08-06,33,1528,"",,0,0,1,,,,,"2 stems grazed"
2020-08-14,33,1529,"",,0,0,2,,,,,"grazed"
2020-08-06,33,1550,"",,0,0,3,,,,,""
2020-08-06,33,1555,"",,0,0,0,,,,,"grazed"
2020-08-14,33,1558,"",,0,0,5,,,,,""
2020-08-06,33,1593,"",,0,0,2,,,,,"1 stem counted"
2020-08-14,33,1634,"",,0,0,9,,,,,""
