"Date","Pl","Tag","Q","Spr","Dne","Tt","Spread","Done","Note","Old_Note"
"06-24",22,1056,"",0,0,"",,,,"yv"
"06-27",22,1057,"",7,3,"",,,,""
"06-24",22,1060,"",0,0,"",,,,"yv"
"06-27",22,1065,"",0,2,"",,,,""
"06-21",22,1071,"",1,0,"",,,,""
"06-27",22,1077,"",2,0,"",,,,""
"06-27",22,1079,"",4,0,"",,,,""
"06-27",22,1084,"",4,0,"",,,,""
"06-27",22,1119,"",,,"",,,,"can'tfind"
"06-27",22,1166,"",0,0,"",,,,"yv"
"06-27",22,1271,"",3,0,"",,,,"3duds"
"06-27",22,1283,"",2,0,"",,,,""
"06-27",22,1284,"",0,0,"",,,,"yv"
"06-27",22,1297,"",5,0,"",,,,"ant"
"06-27",23,1272,"",7,0,"",,,,"OUTSIDENE"
"06-27",24,1045,"",2,1,"",,,,""
"06-27",24,1064,"",0,0,"",,,,"yv"
"06-27",24,1289,"",0,0,"",,,,"yv"
"06-21",24,1296,"",0,0,"",,,,"3yv;OUTSIDENE"
"06-27",25,1075,"",0,1,"",-9,-9,,""
"06-27",25,1116,"",0,1,"",-9,-9,,""
"06-24",25,1081,"",,,"",,,,"can'tfind"
"06-27",25,1106,"",1,3,"",,,,"ttfell"
"06-27",25,1113,"",0,4,"",,,,""
"06-27",26,1082,"",0,3,"",,,,""
"06-21",26,1173,"",0,5,"",,,,""
"06-27",26,1250,"",0,1,"",,,,""
"06-27",27,1061,"",0,3,"",,,,""
"06-27",27,1076,"x",15,0,"",,,,"checkraccount;tagonrac1(3fl)"
"06-27",27,1092,"",18,0,"",,,,"Bombw/redstripedback;spider"
"06-27",27,1097,"",9,1,"",,,,""
"06-27",27,1108,"",11,0,"",,,,""
"06-27",27,1179,"",0,0,"",,,,"yv"
"06-27",27,1195,"",0,0,"",,,,"yv;tagoverpineleaves"
"06-27",27,1249,"",3,0,"",,,,""
"06-27",27,1254,"",3,0,"",,,,""
"06-27",27,1276,"",5,0,"",,,,""
"06-27",27,1280,"",6,0,"",,,,""
"06-27",27,1286,"",1,0,"",,,,""
"06-27",27,1298,"",5,0,"",,,,""
"06-27",28,1251,"",2,3,"whdone",,,,""
"06-24",29,1260,"",0,0,"",,,,"yv"
"06-27",30,1255,"",0,0,"",,,,"yv"
"06-27",31,1094,"",0,10,"whdone",,,,""
"06-27",31,1099,"x",,,"",,,,"is1094?Mustbe;otherwisecan'tfind"
"06-27",31,1100,"",2,1,"",,,,""
"06-27",31,1101,"",0,6,"",,,,""
"06-27",31,1107,"",9,5,"",,,,""
"06-24",31,1238,"",,,"",,,,"can'tfind"
"06-27",31,1248,"",1,0,"",,,,""
"06-27",32,1109,"x",5,0,"",,,,"isinsideplot?Notesaysoutside"
"06-27",33,1059,"",5,4,"whdone",,,,""
"06-27",33,1266,"",1,0,"",,,,""
"06-27",42,1141,"",0,0,"",,,,"OUTSIDESE;yv"
"06-27",43,1203,"",0,0,"",,,,"1yv"
"06-27",43,1246,"",0,0,"",,,,"yv"
"06-27",43,1268,"",0,0,"",,,,"yv"
"06-27",43,1278,"",1,0,"",,,,""
"06-27",43,1285,"",1,0,"",,,,""
"06-27",43,1290,"",4,0,"",,,,""
"06-27",43,1292,"",1,0,"",,,,"1aborted"
"06-27",43,1293,"",6,0,"",,,,""
"06-27",44,1154,"",1,1,"",,,,"ttgoneotherdoneseeding"
"06-27",45,1207,"x",4,0,"",,,,"maybe1287?Checkolddate"
"06-27",45,1257,"",2,0,"",,,,"1dud"
"06-27",45,1264,"",2,0,"",,,,""
"06-27",45,1265,"",1,0,"",,,,""
"06-27",45,1275,"",3,0,"",,,,""
"06-24",45,1287,"",3,0,"",,,,""
"06-24",46,1115,"",0,3,"",-9,-9,,""
"06-27",46,1029,"",,,"",,,,"can'tfind"
"06-21",46,1084,"",3,0,"",,,,""
"06-27",46,1087,"",0,14,"",,,,""
"06-27",46,1089,"",0,4,"",,,,""
"06-27",46,1224,"",0,1,"",,,,""
"06-27",47,1066,"",2,0,"",,,,""
"06-27",47,1072,"",6,0,"whop",,,,""
"06-27",47,1086,"",2,0,"",,,,""
"06-27",47,1093,"",3,0,"",,,,""
"06-27",47,1118,"",2,0,"",,,,""
"06-27",47,1156,"",10,0,"",,,,""
"06-27",47,1229,"x",,,"",,,,"can'tfind;mistypedtag?"
"06-27",47,1235,"",1,0,"",,,,""
"06-27",48,1031,"",0,8,"",-9,-9,,""
"06-27",48,1069,"",0,1,"",-9,-9,,""
"06-27",48,1090,"",0,6,"",-9,-9,,""
"06-24",48,1095,"",0,2,"whdone",-9,-9,,""
"06-27",48,1102,"",0,1,"",-9,-9,,""
"06-27",48,1178,"",0,5,"",-9,-9,,""
"06-27",48,1180,"",0,2,"",-9,-9,,""
"06-27",48,1182,"",0,5,"",-9,-9,,""
"06-24",48,1183,"",0,1,"",-9,-9,,""
"06-27",48,1189,"",0,1,"",-9,-9,,""
"06-27",48,1229,"",0,8,"",-9,-9,,""
"06-24",48,1231,"",0,5,"",-9,-9,,""
"06-27",48,1012,"",0,21,"",,,,""
"06-27",48,1036,"",0,11,"",,,,""
"06-21",48,1056,"",,,"",,,,"can'tfind"
"06-21",48,1068,"",0,5,"",,,,""
"06-27",48,1083,"",0,14,"",,,,""
"06-27",48,1085,"",0,8,"",,,,""
"06-27",48,1098,"",,,"",,,,"can'tfind"
"06-24",48,1177,"",0,1,"",,,,""
"06-27",48,1181,"",,,"",,,,"can'tfind"
"06-27",48,1184,"",0,9,"",,,,""
"06-27",48,1240,"",0,2,"",,,,""
"06-27",48,1274,"",0,2,"",,,,""
"06-27",49,1161,"",0,5,"",-9,-9,,""
"06-27",49,1232,"",0,3,"",-9,-9,,"severalgone"
"06-27",49,1236,"",0,1,"",-9,-9,,""
"06-27",49,1245,"",0,2,"",-9,-9,,""
"06-27",49,1270,"",0,4,"",-9,-9,,""
"06-27",49,1104,"",0,4,"",,,,""
"06-27",49,1121,"",0,4,"",,,,""
"06-27",49,1171,"",0,4,"",,,,""
"06-27",49,1215,"",0,21,"",,,,"waslikelyovercountedbefore;1possibleovercountis1241"
"06-27",49,1221,"",,,"",,,,"can'tfind"
"06-27",49,1228,"",0,2,"",,,,""
"06-27",49,1231,"x",0,5,"",,,,"checkplot#"
"06-27",49,1234,"",,,"",,,,"can'tfind"
"06-27",49,1241,"",1,19,"",,,,"somepedscars?"
"06-27",49,1243,"",,,"",,,,"can'tfind"
"06-27",49,1279,"",0,2,"",,,,""
"06-27",49,1282,"",2,0,"",,,,""
"06-27",50,1155,"",0,1,"",-9,-9,,""
"06-24",50,1186,"",0,1,"",-9,-9,,""
"06-27",50,1028,"",2,5,"",,,,""
"06-27",50,1167,"",0,2,"",,,,""
"06-27",50,1169,"",0,4,"",,,,""
"06-24",50,1183,"",1,2,"whdone",,,,""
"06-27",50,1187,"",0,2,"",,,,""
"06-27",50,1206,"",3,0,"",,,,""
"06-27",50,1225,"",1,3,"",,,,"ttfell"
"06-24",50,1247,"",3,0,"",,,,""
"06-27",50,1281,"",1,0,"",,,,""
"06-27",51,1226,"",0,4,"",-9,-9,,""
"06-27",51,1230,"",1,4,"",,,,""
"06-27",51,1237,"",3,4,"",,,,""
"06-27",51,1256,"x",2,0,"",,,,"(0;2)inprevrecordwasmistake?Check"
"06-27",51,1267,"",1,2,"",,,,""
"06-27",51,1277,"",2,0,"",,,,""
"06-27",61,1125,"",0,0,"",,,,"yv"
"06-27",61,1170,"",0,0,"",,,,"yv"
"06-27",61,1181,"",0,0,"",,,,"yv"
"06-21",61,1288,"x",1,0,"",,,,"is1295?"
"06-27",61,1294,"",1,0,"",,,,""
"06-24",61,1295,"",2,1,"whdone",,,,""
"06-27",62,1214,"",2,2,"",,,,""
"06-27",62,1216,"x",7,3,"",,,,"(1;9)inprevdatashouldbe(9;1)?Check"
"06-27",62,1222,"",2,0,"",,,,""
"06-27",62,1244,"",6,0,"whop",,,,""
"06-27",62,1288,"",0,1,"",,,,""
"06-27",62,1295,"",3,3,"whdone",,,,""
"06-27",65,1130,"",0,0,"",,,,"yv"
"06-27",67,1291,"",2,0,"",,,,"1204maybecloser"
"06-27",68,1175,"",1,1,"",,,,"1dud"
"06-27",68,1263,"",1,0,"",,,,""
