"Date","Pl","Tag","Q","Spr","Dne","Tt","Spread","Done","Note","Old_Note"
"06-21",2,1007,"",3,0,"",,,,""
"06-21",2,1008,"",0,0,"",,,,"yv"
"06-21",2,1009,"",3,0,"",,,,""
"06-21",2,1054,"",2,1,"",,,,"is1014tagcollected"
"06-21",6,1001,"",3,2,"",,,,"2rac"
"06-21",10,1233,"",2,1,"",,,,""
"06-21",12,1048,"",,,"",,,,"can'tfind"
"06-14",12,1146,"",0,0,,,,,"OUTSIDENW;1yv"
"06-21",14,1070,"",0,6,"whdone",,,,""
"06-21",14,1077,"",6,7,"",,,,""
"06-21",14,1081,"",1,5,"",,,,""
"06-21",14,1120,"",5,5,"",,,,"brokeandcounted1done"
"06-21",14,1160,"",0,6,"",,,,""
"06-21",14,1174,"",6,2,"whdone",,,,""
"06-21",14,1212,"",5,0,"whop",,,,""
"06-21",14,1218,"",2,2,"",,,,""
"06-21",14,1219,"",5,4,"",,,,"3raccounted;"
"06-21",21,1033,"",0,0,"",,,,"1yv"
"06-14",22,1043,"",1,0,,,,,"1yv"
"06-21",22,1056,"",0,0,"",,,,"1yv"
"06-21",22,1060,"",0,0,"",,,,"1yv"
"06-21",22,1065,"",2,0,"",,,,""
"06-14",22,1077,"",0,0,,,,,"1yv"
"06-21",22,1079,"",0,0,"",,,,"yv"
"06-21",22,1119,"",0,0,"",,,,"1yv"
"06-21",22,1297,"",0,0,"",,,,"1yv"
"06-21",23,1272,"",0,0,"",,,,"2yv;OUTSIDENE"
"06-21",24,1296,"",0,0,"",,,,"3yv;OUTSIDENE"
"06-21",25,1075,"",0,1,"",,,,""
"06-21",25,1081,"",,,"",,,,"can'tfind;1050isdud"
"06-08",25,1105,"",0,0,"",,,,"1yv"
"06-21",25,1106,"",3,2,"whdone",,,,""
"06-21",25,1113,"",3,0,"",,,,""
"06-14",25,1116,"",0,0,,,,,"1yv"
"06-21",26,1250,"",0,0,"",,,,"1yv"
"06-21",27,1061,"",4,0,"",,,,"spider"
"06-21",27,1092,"x",4,0,"wh3",,,,"othersyv"
"06-21",30,1255,"",0,0,"",,,,"1yv"
"06-21",31,1094,"",8,0,"whop",,,,"is1099"
"06-14",31,1099,"",1,0,"wh1",,,,""
"06-21",31,1100,"",0,0,"",,,,"1yv"
"06-21",31,1101,"",5,1,"wh2",,,,""
"06-21",31,1107,"",4,0,"",,,,""
"06-11",31,1238,"",0,0,"",,,,"3yv"
"06-21",33,1059,"",4,1,"wh2",,,,""
"06-21",33,1266,"",0,0,"",,,,"1yv"
"06-21",43,1246,"",0,0,"",,,,"yv"
"06-21",43,1278,"",0,0,"",,,,"yv"
"06-21",43,1285,"",0,0,"",,,,"yv"
"06-21",43,1290,"",0,0,"",,,,"2yv"
"06-21",43,1292,"",0,0,"",,,,"yv"
"06-21",43,1293,"",0,0,"",,,,"yv"
"06-21",44,1154,"",3,1,"",,,,"[ttmissing]"
"06-21",45,1257,"",0,0,"",,,,"1yv"
"06-21",45,1264,"",0,0,"",,,,"1yv"
"06-21",45,1265,"",0,0,"",,,,"yv"
"06-21",45,1275,"",0,0,"",,,,"1yv"
"06-21",46,1029,"",1,4,"wh3",,,,""
"06-21",46,1087,"",14,1,"wh2",,,,""
"06-21",46,1115,"",0,4,"",,,,"ttfell;brokeoffseeds2and3"
"06-21",46,1224,"",1,6,"",,,,""
"06-21",47,1066,"",0,0,"",,,,"1yv"
"06-05",47,1083,"",0,0,"",,,,"1yv"
"06-05",47,1085,"",0,0,"",,,,"1yv1spreadsoon"
"06-21",47,1086,"",0,0,"",,,,"yv"
"06-21",47,1093,"",0,0,"",,,,"1yv"
"06-05",47,1095,"",0,0,"",,,,"yv"
"06-05",47,1102,"",0,0,"",,,,"1yv"
"06-05",47,1117,"",0,0,"",,,,"yv"
"06-21",47,1118,"",0,0,"",,,,"1yv"
"06-21",47,1156,"",2,0,"",,,,""
"06-05",47,1229,"",0,0,"",,,,"1yv"
"06-21",48,1012,"",28,22,"",,,,"brokeonespreadingoff"
"06-21",48,1031,"",0,11,"",,,,""
"06-21",48,1036,"",6,14,"",,,,""
"06-21",48,1069,"",0,7,"",,,,""
"06-21",48,1083,"",1,13,"",,,,""
"06-21",48,1085,"",2,8,"",,,,""
"06-21",48,1090,"",0,7,"whdone",,,,""
"06-21",48,1095,"",0,2,"whdone",,,,""
"06-21",48,1098,"",,,"",,,,"can'tfind"
"06-21",48,1102,"",0,3,"",,,,""
"06-08",48,1117,"",2,,"",,,,""
"06-21",48,1177,"",1,0,"",,,,"1aborted"
"06-21",48,1178,"",0,7,"",,,,""
"06-21",48,1180,"",0,2,"",,,,""
"06-21",48,1181,"",,,"",,,,"can'tfind"
"06-21",48,1182,"",4,8,"",,,,""
"06-21",48,1183,"x",0,2,"",,,,"1rac"
"06-21",48,1184,"",1,6,"",,,,""
"06-21",48,1189,"",1,0,"",,,,""
"06-21",48,1229,"",1,13,"",,,,""
"06-21",49,1104,"",3,3,"",,,,""
"06-21",49,1121,"",2,12,"",,,,""
"06-21",49,1161,"",0,6,"",,,,""
"06-21",49,1171,"",4,1,"whdone",,,,""
"06-21",49,1215,"",9,0,"whop",,,,"Bomb."
"06-21",49,1221,"",3,1,"wh2",,,,""
"06-21",49,1228,"x",0,5,"",,,,"check-1rac?;is1270?"
"06-21",49,1232,"",0,6,"",,,,"1countedlostpod"
"06-21",49,1234,"",0,1,"",,,,""
"06-21",49,1236,"",0,1,"",,,,""
"06-21",49,1241,"",7,9,"whdone",,,,"Bomb"
"06-21",49,1243,"",,,"",,,,"can'tfind"
"06-21",49,1245,"",0,4,"",,,,""
"06-21",50,1028,"",5,3,"",,,,"2brokencounted"
