"Plot","Tag","Q","N_infl","Fl_open","Fl_done","Last_date","Old_info","Old_q","Old_notes"
104,2019,,,,,"6/20/22","1;0;4",,""
104,2026,,,,,"6/20/22","1;1;2",,""
104,2049,,,,,"6/20/22","1;0;2",,""
104,2055,,,,,"6/20/22","1;1;0",,""
104,2060,,,,,"6/20/22","1;1;1",,""
104,2062,,,,,"6/20/22","1;2;0",,""
104,2089,,,,,"6/20/22","0;0;0",,"yv"
104,2091,,,,,"6/20/22","0;0;0",,"yv"
111,2028,,,,,"6/20/22","1;3;0",,""
118,2007,,,,,"6/9/22","0;0;0",,"yv"
118,2016,,,,,"6/9/22","1;2;0",,"yv"
118,2024,,,,,"6/9/22","1;3;0",,"2yv"
118,2025,,,,,"6/9/22","0;0;0",,"2yv"
118,2029,,,,,"6/20/22","1;3;2",,""
118,2041,,,,,"6/20/22","2;8;0",,""
123,2097,,,,,"6/20/22","0;0;0",,"yv; ant"
127,2001,,,,,"6/20/22","2;8;0",,""
127,2027,,,,,"6/20/22","2;8;0",,"yv"
138,2053,,,,,"6/20/22","0;0;0",,"yv"
147,2099,,,,,"6/20/22","0;0;0",,"yv"
149,2010,,,,,"6/20/22","1;0;4",,""
149,2056,,,,,"6/20/22","0;0;0",,"yv"
149,2059,,,,,"6/20/22","0;0;0",,"yv"
149,2061,,,,,"6/20/22","0;0;0",,"yv"
149,2068,,,,,"6/20/22","2;6;4",,""
149,2069,,,,,"6/20/22","3;10;0",,"yv"
149,2093,,,,,"6/20/22","1;1;0",,""
149,2094,,,,,"6/20/22","0;0;0",,"yv"
152,2018,,,,,"6/20/22","1;8;0",,"ants"
152,2030,,,,,"6/20/22","1;1;0",,""
152,2033,,,,,"6/20/22","1;6;0",,""
152,2051,,,,,"6/20/22","0;0;0",,"3yv"
152,2063,,,,,"6/20/22","0;0;0",,"2yv"
152,2065,,,,,"6/20/22","0;0;0",,"2yv"
152,2070,,,,,"6/20/22","1;1;0",,"yv"
152,2072,,,,,"6/20/22","1;3;0",,""
152,2073,,,,,"6/20/22","2;3;0",,""
152,2095,,,,,"6/20/22","0;0;0",,"yv"
152,2100,,,,,"6/20/22","0;0;0",,"yv"
154,2043,,,,,"6/20/22","1;3;0",,"larva on fl; yv"
154,2047,,,,,"6/20/22","1;4;0",,""
154,2074,,,,,"6/20/22","0;0;0",,"old tag; yv"
154,2090,,,,,"6/20/22","1;1;0",,""
163,2009,,,,,"6/20/22","0;0;0",,"yv"
163,2035,,,,,"6/20/22","1;4;0",,""
163,2038,,,,,"6/20/22","1;3;0",,""
163,2064,,,,,"6/20/22","1;3;0",,"old tag"
163,2075,,,,,"6/20/22","2;5;0",,""
163,2076,,,,,"6/20/22","1;3;0",,""
163,2082,,,,,"6/20/22","1;3;0",,""
163,2084,,,,,"6/20/22","1;1;0",,"yv"
163,2087,,,,,"6/20/22","0;0;0",,"yv"
163,2088,,,,,"6/20/22","NA;NA;NA",,"cf; is 2038?"
163,2098,,,,,"6/20/22","2;3;0",,""
163,,,,,,"6/20/22","0;0;0",,"yv; untagged SE corner"
164,2003,,,,,"6/20/22","1;6;1",,""
164,2015,,,,,"6/20/22","0;0;0",,"3yv"
164,2020,,,,,"6/20/22","2;10;2",,""
164,2031,,,,,"6/20/22","3;13;6",,""
164,2036,,,,,"6/20/22","2;3;1",,""
164,2039,,,,,"6/20/22","1;8;0",,""
164,2045,,,,,"6/20/22","2;13;0",,""
164,2048,,,,,"6/20/22","1;9;0",,""
164,2050,,,,,"6/20/22","1;7;0",,""
164,2054,,,,,"6/20/22","1;2;0",,"yv"
164,2058,,,,,"6/20/22","0;0;0",,"yv"
164,2071,,,,,"6/20/22","1;3;1",,"yv"
164,2081,,,,,"6/20/22","1;3;0",,""
164,2083,,,,,"6/20/22","2;13;0",,"yv"
169,2004,,,,,"6/9/22","0;0;0",,"yv; kinked stem"
169,2006,,,,,"6/9/22","0;0;0",,"yv"
169,2014,,,,,"6/9/22","0;0;0",,"yv"
169,2021,,,,,"6/9/22","0;0;0",,"2yv"
169,2022,,,,,"6/20/22","1;9;0",,""
169,2023,,,,,"6/9/22","0;0;0",,"yv"
169,2034,,,,,"6/20/22","1;6;0",,""
169,2046,,,,,"6/20/22","7;9;10",,"old tag"
169,2067,,,,,"6/20/22","1;3;0",,""
169,2078,,,,,"6/20/22","1;3;4",TRUE,"prev missed; do not include in analysis"
169,2080,,,,,"6/20/22","1;3;1",,"yv"
169,2086,,,,,"6/20/22","3;9;0",,""
170,2002,,,,,"6/20/22","1;2;5",,""
170,2005,,,,,"6/20/22","1;1;2",,""
170,2008,,,,,"6/20/22","1;3;0",,""
170,2011,,,,,"6/20/22","1;1;5",,""
170,2012,,,,,"6/20/22","2;4;0",,""
170,2013,,,,,"6/20/22","2;3;8",,""
170,2017,,,,,"6/20/22","2;4;6",,""
170,2032,,,,,"6/20/22","1;3;0",,""
170,2037,,,,,"6/20/22","3;5;4",,""
170,2040,,,,,"6/20/22","1;6;0",,""
170,2042,,,,,"6/20/22","1;6;3",,""
170,2044,,,,,"6/20/22","0;0;0",,"yv"
170,2052,,,,,"6/20/22","1;1;0",,""
170,2057,,,,,"6/20/22","1;1;0",,""
170,2066,,,,,"6/20/22","0;0;0",,"yv"
170,2077,,,,,"6/20/22","1;4;0",,""
170,2079,,,,,"6/20/22","0;0;0",,"yv"
170,2085,,,,,"6/20/22","1;1;0",,"yv"
170,2092,,,,,"6/20/22","1;2;0",,""
